,Bearish,Neutral,Bullish,Total/Compound,Mentions
AC,0.022,0.834,0.145,0.759,2
XOM,0.070,0.805,0.124,0.194,2
Z,0.033,0.768,0.200,0.629,2
KO,0.000,1.000,0.000,0.000,1
DOCU,0.000,0.446,0.554,0.866,1
FIT,0.000,0.749,0.251,0.748,1
SUN,0.000,0.768,0.232,0.604,1
XPEV,0.423,0.577,0.000,-0.447,1
ARES,0.000,1.000,0.000,0.000,1
CCIV,0.000,0.738,0.262,0.494,1
PENN,0.000,0.192,0.808,0.637,1
AZN,0.000,0.743,0.257,0.586,1
MX,0.000,1.000,0.000,0.000,1
RE,0.193,0.659,0.148,-0.680,1
VFF,0.000,0.541,0.459,0.859,1
CLF,0.000,0.831,0.169,0.597,1
TWTR,0.166,0.634,0.200,0.303,1
TIGR,0.000,0.526,0.474,0.896,1
GRAY,0.159,0.481,0.361,0.637,1
ZM,0.057,0.627,0.316,0.898,1
GOOG,0.000,0.708,0.292,0.753,1
PYPL,0.000,1.000,0.000,0.000,1
FSR,0.000,0.500,0.500,0.718,1
TEVA,0.000,1.000,0.000,0.000,1
SWBI,0.101,0.606,0.293,0.772,1
BLNK,0.000,0.612,0.388,0.869,1
MGNI,0.000,1.000,0.000,0.000,1
QS,0.000,0.903,0.097,0.459,1
FSLY,0.000,0.417,0.583,0.637,1
NET,0.144,0.478,0.378,0.778,1
GD,0.000,1.000,0.000,0.000,1
LAC,0.154,0.526,0.320,0.586,1
MAR,0.000,0.803,0.197,0.796,1
GLPI,0.000,0.730,0.270,0.941,1
MET,0.400,0.600,0.000,-0.612,1
UAL,0.324,0.676,0.000,-0.340,1
LMT,0.000,0.583,0.417,0.718,1
SE,0.000,0.896,0.104,0.440,1
MS,0.000,0.884,0.116,0.440,1
WH,0.000,1.000,0.000,0.000,1
PWR,0.000,1.000,0.000,0.000,1
JOE,0.000,1.000,0.000,0.000,1
WASH,0.000,1.000,0.000,0.000,1
JACK,0.000,0.858,0.142,0.562,1
FORM,0.118,0.781,0.101,-0.234,1
CUE,0.118,0.781,0.101,-0.234,1
AIR,0.000,1.000,0.000,0.000,1
FUSE,0.191,0.809,0.000,-0.428,1
FR,0.000,1.000,0.000,0.000,1
PACK,0.302,0.554,0.144,-0.740,1
TRUE,0.142,0.738,0.120,-0.375,1
HI,0.000,1.000,0.000,0.000,1
JG,0.000,0.654,0.346,0.742,1
WISH,0.253,0.691,0.056,-0.917,1
RNG,0.000,1.000,0.000,0.000,1
CS,0.188,0.761,0.052,-0.718,1
ROLL,0.278,0.722,0.000,-0.402,1
FIVE,0.217,0.741,0.042,-0.780,1
KIDS,0.306,0.504,0.190,-0.510,1
GF,0.057,0.882,0.061,0.050,1
FAM,0.255,0.255,0.490,0.691,1
MEN,0.000,1.000,0.000,0.000,1
CRY,0.192,0.545,0.263,0.523,1
SP,0.000,1.000,0.000,0.000,1
DISH,0.037,0.908,0.055,0.250,1
MIN,0.000,1.000,0.000,0.000,1
LL,0.192,0.581,0.227,-0.067,1
PHAT,0.110,0.734,0.155,0.579,1
LEAP,0.130,0.764,0.106,0.226,1
COLD,0.000,1.000,0.000,0.000,1
BC,0.268,0.628,0.104,-0.965,1
AAP,0.229,0.521,0.250,0.052,1
WAT,0.209,0.791,0.000,-0.607,1
FUN,0.234,0.260,0.506,0.636,1
TEN,0.000,1.000,0.000,0.000,1
POST,0.000,0.843,0.157,0.077,1
ST,0.000,0.681,0.319,0.883,1
III,0.000,0.733,0.267,0.667,1
B,0.106,0.685,0.209,0.972,1
PEAK,0.000,0.862,0.138,0.341,1
TRIP,0.000,0.779,0.221,0.901,1
MLM,0.415,0.585,0.000,-0.818,1
HES,0.056,0.677,0.266,0.925,1
CUZ,0.089,0.911,0.000,-0.751,1
PEP,0.128,0.872,0.000,-0.421,1
SKT,0.035,0.799,0.166,0.820,1
