Date,Mentions,Sentiment,Open,Close,Up,Normalized SPY,Normalized Sentiment
2018-08-01,85,0.094718809524,268.4715795532076,267.8041076660156,0,0.2762727388692574,0.36190932678434495
2018-08-02,127,0.027789378616666673,266.40242650949835,269.2629699707031,1,0.2847303889609656,0.2457385536868643
2018-08-03,97,0.1025514058904762,269.3964500323987,270.4167175292969,1,0.29141915808838426,0.37550452344026575
2018-08-06,101,0.004155661874999991,270.45484130259905,271.4083557128906,1,0.29716810968406615,0.20471703134869262
2018-08-07,120,0.06387430887826089,272.123546496484,272.3046875,1,0.3023645292481938,0.3083719003152272
2018-08-08,96,0.07281437271153846,272.12352268087284,272.19024658203125,1,0.3017010661939743,0.32388935075479
2018-08-09,152,0.10629439442,272.2570289887827,271.81842041015625,0,0.2995454304999452,0.38200130468097016
2018-08-10,99,-0.08325132799666667,270.27365866148074,269.99713134765625,0,0.2889866371463943,0.05300294309394532
2018-08-13,106,0.184252498425,270.29279108932815,268.9864807128906,0,0.2831274622219715,0.5173147697545594
2018-08-14,127,0.12428589651724141,269.7683636213291,270.7027893066406,1,0.2930776388004519,0.4132295204223425
2018-08-15,141,-0.022972616018750006,269.2534500133065,268.68133544921875,0,0.2813584043342008,0.15762992821638544
2018-08-16,222,-0.05117516084516128,270.2259931243525,270.8553161621094,1,0.29396190235911557,0.10867819814211145
2018-08-17,197,0.08740910320967742,270.63603497949737,271.8088684082031,1,0.29949005345035307,0.349221721016023
2018-08-20,191,-0.04192867703666666,272.2952371795617,272.3905944824219,1,0.30286256884756124,0.12472750795849691
2018-08-21,174,0.18442689312162167,272.9435755988971,273.0293884277344,1,0.3065659311544735,0.5176174701728357
2018-08-22,142,0.11167086680588234,272.5907821646023,272.8673095703125,1,0.3056262905462177,0.3913333570402675
2018-08-23,191,0.007488237843750011,272.67656949075166,272.50494384765625,0,0.30352550113133736,0.21050145116890295
2018-08-24,228,0.015419571390625005,273.124691014876,274.14495849609375,1,0.3130333690070046,0.2242680279549831
2018-08-27,337,0.05990151049615385,275.4321716220938,276.3094177246094,1,0.32558166690580825,0.30147623344411945
2018-08-28,218,-0.018161539114814815,276.80527374744355,276.4429626464844,0,0.326355884059212,0.1659806121499664
2018-08-29,297,0.020001635413513526,276.6717737846026,277.930419921875,1,0.33497931145273463,0.23222120957784953
2018-08-30,362,0.08097161551999998,277.41556120960456,276.8052978515625,0,0.3284564965506114,0.33804804283622836
2018-08-31,304,0.14277113730322583,276.366666312994,276.8148193359375,1,0.32851169667672253,0.44531472843754466
2018-09-04,380,0.06276591160888889,276.3666780055283,276.33807373046875,0,0.32574779805458487,0.3064480326543717
2018-09-05,406,0.11962703087391309,275.9566394882148,275.59429931640625,0,0.32143581897260187,0.40514303266642404
2018-09-06,436,0.051743040105128216,275.708740649734,274.7647705078125,0,0.3166266849086572,0.2873154106226825
2018-09-07,302,0.1308151886888889,273.63959959612794,274.23077392578125,1,0.3135308778359287,0.4245625455067752
2018-09-10,301,-0.06944595580857145,275.3177536492756,274.70751953125,0,0.31629477645806636,0.07696520809825984
2018-09-11,446,0.08587725418222221,274.0114449803956,275.61334228515625,1,0.32154621922482396,0.3465628595349731
2018-09-12,521,0.013703323516326542,275.622936713769,275.6801452636719,1,0.3219335047250069,0.22128910164885318
2018-09-13,604,0.07398535193333333,276.8243353047614,277.31060791015625,1,0.3313859955510823,0.32592184318200546
2018-09-14,351,0.010499428833333336,277.52990197732015,277.3582763671875,0,0.3316623500285998,0.21572803655087627
2018-09-17,362,-0.01183389523333334,277.3010738944937,275.8898620605469,0,0.32314932288729925,0.17696363220006972
2018-09-18,383,0.11459884712608698,276.1187416751979,277.3869323730469,1,0.3318284811773764,0.3964155119727265
2018-09-19,346,0.05363234304390246,277.4441164911031,277.6824951171875,1,0.3335419850920738,0.29059471212035437
2018-09-20,481,0.08830173615833332,279.0365537700311,279.9328308105469,1,0.34658814566676366,0.35077108216151387
2018-09-21,462,0.11434410767500006,280.73065229679366,279.6770324707031,0,0.3451051730479724,0.3959733555316809
2018-09-24,404,0.14338118925200002,279.05446824468186,278.7479553222656,0,0.33971891458859726,0.4463736080000624
2018-09-25,371,0.1654166543510639,279.2364563387582,278.4893493652344,0,0.33821966500954237,0.48462101248890477
2018-09-26,349,0.0655594614387755,278.64263169772056,277.65606689453125,0,0.33338876935741935,0.3112968538534282
2018-09-27,327,0.037604731953191486,278.16363228904606,278.43182373046875,1,0.3378861642476214,0.2627752619013381
2018-09-28,456,0.11986696315272728,277.7614051640543,278.46063232421875,1,0.3380531800138036,0.40555948799770386
2018-10-01,603,0.09886249957068968,279.7920213231306,279.4280700683594,0,0.343661831288953,0.3691016137898443
2018-10-02,886,0.08803781218448276,279.2651672363281,279.2651672363281,0,0.34271741374670683,0.3503129839576964
2018-10-03,778,0.16508781552142857,280.39540349183187,279.4184265136719,0,0.3436059234689175,0.4840502402509621
2018-10-04,912,0.024186579428070176,278.9011743978468,277.23455810546875,0,0.3309451022361183,0.2394851019335733
2018-10-05,680,0.058779447900000004,277.4740309205586,275.6828918457031,0,0.3219494278383084,0.29952864659791667
2018-10-08,462,0.054735605772,274.94534335793054,275.6828918457031,1,0.3219494278383084,0.29250966765359626
2018-10-09,272,-0.02126533402127659,275.2710201817057,275.28057861328125,1,0.31961704558663495,0.16059329226794153
2018-10-10,527,-0.0749637407526316,274.73465901585365,266.5643615722656,0,0.2690853993720279,0.06738787666054591
